题目如下，一共1000道题目
第1题:      3÷1/7-2/3 = 
第871题:      5/7-3/5 = 
第872题:      9/10×(3-2) = 
第873题:      (2×5)-7/8 = 
第874题:      (5/8-1/10)÷8 = 
第875题:      5/9÷5×1/6 = 
第876题:      2÷2+5 = 
第877题:      5/7÷5÷8/9 = 
第878题:      6+3/7 = 
第879题:      6*3/4 = 
第880题:      3/8+5/6 = 
第881题:      6÷9-4/9 = 
第882题:      1/3×(10+10) = 
第883题:      10+(5/8+4) = 
第884题:      4/5+4×4 = 
第885题:      (10-3)×1/5 = 
第886题:      5/7/3 = 
第887题:      (9÷9)÷5 = 
第888题:      1/2+(4/9+1) = 
第889题:      3/5÷1×8 = 
第890题:      (10+5)×7 = 
第891题:      10×(3/7×8) = 
第892题:      1/6÷3×8 = 
第893题:      (9×8)×7 = 
第894题:      3+(10×4) = 
第895题:      3-10÷9 = 
第896题:      6-6/7-2 = 
第897题:      5×2/5+10 = 
第898题:      4÷(1/7+2/7) = 
第899题:      5×(9÷7/8) = 
第900题:      4-3/5+1/7 = 
第901题:      2/3+8÷2 = 
第902题:      9×6×3/8 = 
第903题:      3/3/4 = 
第904题:      9/9 = 
第905题:      (8-2)÷4 = 
第906题:      9-2/3×5 = 
第907题:      5/6*5/7 = 
第908题:      3×7/9÷5 = 
第909题:      4+1+7 = 
第910题:      4÷3/8-4 = 
第911题:      2/9+2+4 = 
第912题:      8+4×8 = 
第913题:      3+5/9×1 = 
第914题:      8+(7÷4) = 
第915题:      1÷6+2 = 
第916题:      9×(7-6) = 
第917题:      7/9+5+1/7 = 
第918题:      1/8×(1/3÷3) = 
第919题:      6*5 = 
第920题:      (6+9)×8 = 
第921题:      10×1/3÷1/7 = 
第922题:      4+(6×8) = 
第923题:      4/7+8 = 
第924题:      (10÷5)+2 = 
第925题:      2×3/7+8 = 
第926题:      1/2÷2+2/5 = 
第927题:      3÷(7/10×2/3) = 
第928题:      9/10+5 = 
第929题:      10+9/10 = 
第930题:      (1/8÷3)×9 = 
第931题:      8+(3/8×9) = 
第932题:      2/5/7 = 
第933题:      10+(1/8×5) = 
第934题:      2*7/8 = 
第935题:      6+3-9 = 
第936题:      4/5÷5÷7 = 
第937题:      4+(7/9+3/5) = 
第938题:      (5/9÷1)÷5 = 
第939题:      (1/6+4/5)+10 = 
第940题:      5/9+(10-1/7) = 
第941题:      (3+2)÷10 = 
第942题:      7×10×2/5 = 
第943题:      2*9 = 
第944题:      6÷6÷6 = 
第945题:      10+9÷10 = 
第946题:      (9+1)÷9 = 
第947题:      4÷7+6 = 
第948题:      4×(10÷1) = 
第949题:      10+4-7 = 
第950题:      3÷7÷9 = 
第951题:      4-1/6 = 
第952题:      3÷9+4 = 
第953题:      1/10/1/2 = 
第954题:      5×10-1 = 
第955题:      8/9*3/10 = 
第956题:      (2+10)÷9 = 
第957题:      2/5-1/5 = 
第958题:      4÷(9+8) = 
第959题:      (6+10)÷6 = 
第960题:      8*4 = 
第961题:      (7÷9)+5 = 
第962题:      2/1 = 
第963题:      6+1/3+8 = 
第964题:      1/3-2/9 = 
第965题:      3-3/5 = 
第966题:      7*3 = 
第967题:      2/3*10 = 
第968题:      (9+1/6)×9 = 
第969题:      3/7 = 
第970题:      (7+8)×9 = 
第971题:      (1÷4)+5 = 
第972题:      (5÷8)÷4/7 = 
第973题:      (9+1)-4 = 
第974题:      2/5×2÷5/7 = 
第975题:      1×(1-3/7) = 
第976题:      8/1 = 
第977题:      8-4/9 = 
第978题:      1÷(4+8/9) = 
第979题:      1/2*3 = 
第980题:      6+6-5 = 
第981题:      4+10 = 
第982题:      8/8 = 
第983题:      1/4+(1/8÷1) = 
第984题:      2/8 = 
第985题:      (7/9+7)÷6 = 
第986题:      1/9+2÷2 = 
第987题:      1-3/4 = 
第988题:      4+4/7÷7 = 
第989题:      6×10÷10 = 
第990题:      (2+6)÷6 = 
第991题:      3/10÷1/2×5 = 
第992题:      4-1 = 
第993题:      5+9-2/3 = 
第994题:      3×1/3-1 = 
第995题:      7×5-6 = 
第996题:      6+10 = 
第997题:      8+(4+1/2) = 
第998题:      7+5÷3/10 = 
第999题:      3/10+3+9 = 
第1000题:      (2/9×10)+1/2 = 
